Song_Name,Matched_Name,Ratio_Value,song_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,Rank,Year,Billboard Song Name
all the man that i need,the hand that feeds,71,The Hand That Feeds,0.0187,0.595,0.985,0.000297,9,0.0666,-4.337,0,0.0885,128.006,4,0.462,34,1965,game of love
hold me thrill me kiss me,then he kissed me,62,Then He Kissed Me,0.6809999999999999,0.44,0.682,3.3299999999999996e-05,4,0.207,-7.416,1,0.0373,135.917,4,0.626,35,1965,the name game
hold me thrill me kiss me kill me,then he kissed me,56,Then He Kissed Me,0.6809999999999999,0.44,0.682,3.3299999999999996e-05,4,0.207,-7.416,1,0.0373,135.917,4,0.626,36,1965,i know a place
shotgun,shotgun,100,Shotgun,0.28600000000000003,0.672,0.735,0.0,5,0.242,-4.7330000000000005,1,0.0457,115.741,4,0.754,37,1965,back in my arms again
i got you babe,i want you back,69,I Want You Back,0.29,0.639,0.5479999999999999,9.68e-05,8,0.366,-13.534,1,0.0394,98.359,4,0.887,38,1965,baby im yours
i want you back,i want you back,100,I Want You Back,0.29,0.639,0.5479999999999999,9.68e-05,8,0.366,-13.534,1,0.0394,98.359,4,0.887,39,1965,the jolly green giant
i wont hold you back,i want you back,80,I Want You Back,0.29,0.639,0.5479999999999999,9.68e-05,8,0.366,-13.534,1,0.0394,98.359,4,0.887,40,1965,hush hush sweet charlotte
i cant hold back,i want you back,77,I Want You Back,0.29,0.639,0.5479999999999999,9.68e-05,8,0.366,-13.534,1,0.0394,98.359,4,0.887,41,1965,like a rolling stone
i want you back,i want you back,100,I Want You Back,0.29,0.639,0.5479999999999999,9.68e-05,8,0.366,-13.534,1,0.0394,98.359,4,0.887,42,1965,im telling you now
this diamond ring,this mountain,67,This Mountain,0.215,0.675,0.93,0.0,11,0.0638,-3.1310000000000002,0,0.069,129.965,4,0.595,43,1965,ferry cross the mersey
the in crowd,the high road,72,The High Road,0.0506,0.547,0.8420000000000001,0.8390000000000001,7,0.0697,-7.0489999999999995,1,0.0276,153.391,4,0.9490000000000001,44,1965,just once in my life
mrs brown youve got a lovely daughter,where do you go to my lovely,58,Where Do You Go To (My Lovely),0.805,0.408,0.436,1.72e-06,0,0.305,-7.7120000000000015,1,0.0345,175.024,3,0.474,45,1965,the seventh son
stop in the name of love,stop in the name of love,100,Stop! In The Name Of Love,0.799,0.603,0.633,0.0,0,0.115,-5.8320000000000025,1,0.0287,115.884,4,0.504,46,1965,im henery the eighth i am
sowing the seeds of love,stop in the name of love,75,Stop! In The Name Of Love,0.799,0.603,0.633,0.0,0,0.115,-5.8320000000000025,1,0.0287,115.884,4,0.504,47,1965,a walk in the black forest
step in the name of love,stop in the name of love,96,Stop! In The Name Of Love,0.799,0.603,0.633,0.0,0,0.115,-5.8320000000000025,1,0.0287,115.884,4,0.504,48,1965,for your love
step in the name of love,stop in the name of love,96,Stop! In The Name Of Love,0.799,0.603,0.633,0.0,0,0.115,-5.8320000000000025,1,0.0287,115.884,4,0.504,49,1965,california girls
unchained melody,unchained melody,100,Unchained Melody,0.517,0.3670000000000001,0.215,0.0,0,0.618,-16.652,1,0.0288,98.742,3,0.266,50,1965,go now
silhouettes,silhouettes,100,Silhouettes,0.853,0.428,0.40299999999999997,0.0,7,0.324,-12.24,1,0.0387,78.053,4,0.6920000000000001,51,1965,goldfinger
ill never find another you,ill be there for you,65,I'll Be There For You,0.0717,0.32,0.917,0.0,9,0.16899999999999998,-5.903,1,0.0771,190.757,4,0.715,52,1965,down in the boondocks
ill be good to you,ill be there for you,68,I'll Be There For You,0.0717,0.32,0.917,0.0,9,0.16899999999999998,-5.903,1,0.0771,190.757,4,0.715,53,1965,baby the rain must fall
ill be there for you,ill be there for you,100,I'll Be There For You,0.0717,0.32,0.917,0.0,9,0.16899999999999998,-5.903,1,0.0771,190.757,4,0.715,54,1965,catch us if you can
cara mia,caravan,67,Caravan,0.294,0.6409999999999999,0.397,0.000717,7,0.0496,-12.285,1,0.0454,81.962,4,0.57,55,1965,eight days a week
mr tambourine man,mr tambourine man,100,Mr. Tambourine Man,0.513,0.456,0.47,3.76e-05,2,0.444,-9.564,1,0.0294,120.336,4,0.639,56,1965,just a little
green tambourine,mr tambourine man,73,Mr. Tambourine Man,0.513,0.456,0.47,3.76e-05,2,0.444,-9.564,1,0.0294,120.336,4,0.639,57,1965,you turn me on
cast your fate to the wind,set fire to the rain,65,Set Fire To The Rain,0.703,0.5660000000000001,0.22699999999999998,0.0,1,0.11,-11.588,1,0.0502,117.979,4,0.507,58,1965,ill be doggone
set fire to the rain,set fire to the rain,100,Set Fire To The Rain,0.703,0.5660000000000001,0.22699999999999998,0.0,1,0.11,-11.588,1,0.0502,117.979,4,0.507,59,1965,save your heart for me
yes im ready,es mi reina,70,Es mi reina,0.602,0.6459999999999999,0.519,0.0,0,0.23800000000000002,-9.592,1,0.0724,135.915,4,0.7709999999999999,60,1965,tired of waiting for you
yes im ready,es mi reina,70,Es mi reina,0.602,0.6459999999999999,0.519,0.0,0,0.23800000000000002,-9.592,1,0.0724,135.915,4,0.7709999999999999,61,1965,count me in
whats new pussycat,whats the use,65,What's the Use?,0.736,0.759,0.4920000000000001,0.009890000000000001,1,0.107,-10.338,0,0.12,104.97399999999999,4,0.561,62,1965,all day and all of the night
what the hell,whats the use,77,What's the Use?,0.736,0.759,0.4920000000000001,0.009890000000000001,1,0.107,-10.338,0,0.12,104.97399999999999,4,0.561,63,1965,what the world needs now is love
eve of destruction,self destruction,82,Self Destruction,0.0945,0.9670000000000001,0.578,0.0,8,0.0786,-6.474,1,0.0993,120.041,4,0.774,64,1965,its not unusual
sexual eruption,self destruction,71,Self Destruction,0.0945,0.9670000000000001,0.578,0.0,8,0.0786,-6.474,1,0.0993,120.041,4,0.774,65,1965,shes about a mover
hang on sloopy,hang loose,67,Hang Loose,0.0729,0.9259999999999999,0.609,4.53e-06,7,0.10300000000000001,-9.21,1,0.0628,114.973,4,0.217,66,1965,shake
ticket to ride,side to side,69,Side To Side,0.0513,0.65,0.736,0.0,6,0.235,-5.84,0,0.22899999999999998,159.174,4,0.612,67,1965,wonderful world
red roses for a blue lady,regresa a mi lado,57,Regresa a Mi Lado,0.41600000000000004,0.40299999999999997,0.843,5.9e-05,7,0.282,-2.9760000000000004,1,0.0435,202.00400000000002,4,0.778,68,1965,nowhere to run
red roses for a blue lady,regresa a mi lado,57,Regresa a Mi Lado,0.41600000000000004,0.40299999999999997,0.843,5.9e-05,7,0.282,-2.9760000000000004,1,0.0435,202.00400000000002,4,0.778,69,1965,heart full of soul
papas got a brand new bag,papas got a brand new bag,100,Papa's Got A Brand New Bag,0.493,0.746,0.7020000000000001,0.0398,4,0.0964,-8.099,1,0.0766,129.434,4,0.889,70,1965,love potion no 9
game of love,game to lose,83,Game To Lose,0.963,0.568,0.0626,0.000139,1,0.0575,-13.728,0,0.0435,131.60399999999998,4,0.452,71,1965,laurie strange things happen
the name game,the a team,70,The A Team,0.669,0.642,0.289,0.0,9,0.18,-9.918,1,0.0367,84.99600000000002,4,0.40700000000000003,72,1965,baby dont go
the a team,the a team,100,The A Team,0.669,0.642,0.289,0.0,9,0.18,-9.918,1,0.0367,84.99600000000002,4,0.40700000000000003,73,1965,it aint me babe
i know a place,i know a place,100,I Know A Place,0.13699999999999998,0.685,0.9,0.0,5,0.2,-4.626,0,0.151,111.991,4,0.779,74,1965,tell her no
back in my arms again,back again,65,Back Again,0.00205,0.634,0.865,1.25e-06,9,0.307,-4.363,0,0.0367,112.021,4,0.879,75,1965,i go to pieces
baby im yours,baby im yours,100,Baby I'm Yours,0.215,0.462,0.595,0.0,2,0.184,-9.363,1,0.0347,113.719,4,0.64,76,1965,red roses for a blue lady
baby im for real,baby im yours,69,Baby I'm Yours,0.215,0.462,0.595,0.0,2,0.184,-9.363,1,0.0347,113.719,4,0.64,77,1965,dont just stand there
baby im yours,baby im yours,100,Baby I'm Yours,0.215,0.462,0.595,0.0,2,0.184,-9.363,1,0.0347,113.719,4,0.64,78,1965,the tracks of my tears
the jolly green giant,the only exception,62,The Only Exception,0.14400000000000002,0.452,0.563,0.0,4,0.14300000000000002,-6.607,1,0.0272,137.715,3,0.209,79,1965,too many rivers
the only exception,the only exception,100,The Only Exception,0.14400000000000002,0.452,0.563,0.0,4,0.14300000000000002,-6.607,1,0.0272,137.715,3,0.209,80,1965,i like it like that
hush hush sweet charlotte,swing low sweet chariot,62,Swing Low Sweet Chariot,0.995,0.376,0.0155,0.943,7,0.0946,-24.706,1,0.0473,70.41199999999998,4,0.135,81,1965,little things
like a rolling stone,like a rolling stone,100,Like a Rolling Stone,0.7290000000000001,0.483,0.721,0.0,0,0.18899999999999997,-6.836,1,0.032,95.26100000000001,4,0.562,82,1965,true love ways
papa was a rollin stone,like a rolling stone,70,Like a Rolling Stone,0.7290000000000001,0.483,0.721,0.0,0,0.18899999999999997,-6.836,1,0.032,95.26100000000001,4,0.562,83,1965,its the same old song
im telling you now,more than you know,67,More Than You Know,0.0323,0.645,0.741,0.0,5,0.29,-4.989,0,0.0339,123.07,4,0.534,84,1965,youve got your troubles
ferry cross the mersey,eyes of the muse,63,Eyes of the Muse,0.000499,0.297,0.96,0.00645,2,0.11,-3.234,1,0.156,115.206,4,0.193,85,1965,hold what youve got
just once in my life,for once in my life,82,For Once In My Life,0.195,0.524,0.519,0.0,6,0.523,-11.902999999999999,1,0.043,110.12100000000001,4,0.847,86,1965,we gotta get out of this place
got to get you into my life,for once in my life,65,For Once In My Life,0.195,0.524,0.519,0.0,6,0.523,-11.902999999999999,1,0.043,110.12100000000001,4,0.847,87,1965,laugh laugh
the seventh son,the sweet escape,65,The Sweet Escape,0.218,0.755,0.765,0.0,1,0.162,-3.475,1,0.0356,119.954,4,0.737,88,1965,the last time
the sweetest taboo,the sweet escape,71,The Sweet Escape,0.218,0.755,0.765,0.0,1,0.162,-3.475,1,0.0356,119.954,4,0.737,89,1965,do you believe in magic
the sweet escape,the sweet escape,100,The Sweet Escape,0.218,0.755,0.765,0.0,1,0.162,-3.475,1,0.0356,119.954,4,0.737,90,1965,all i really want to do
im henery the eighth i am,when the night is over,64,When the Night is Over,0.10099999999999999,0.6859999999999999,0.41700000000000004,0.166,6,0.12300000000000001,-6.294,0,0.0261,95.98899999999999,3,0.563,91,1965,take me back
sharing the night together,when the night is over,67,When the Night is Over,0.10099999999999999,0.6859999999999999,0.41700000000000004,0.166,6,0.12300000000000001,-6.294,0,0.0261,95.98899999999999,3,0.563,92,1965,i want candy
get up before the night is over,when the night is over,72,When the Night is Over,0.10099999999999999,0.6859999999999999,0.41700000000000004,0.166,6,0.12300000000000001,-6.294,0,0.0261,95.98899999999999,3,0.563,93,1965,ooo baby baby
a walk in the black forest,a day in the life  remastered,62,A Day In The Life - Remastered,0.29,0.364,0.457,0.000106,4,0.922,-14.162,0,0.0675,163.219,4,0.175,94,1965,laugh at me
for your love,for your love,100,For Your Love,0.387,0.33799999999999997,0.6679999999999999,1.59e-05,2,0.111,-8.641,1,0.0421,127.09700000000001,5,0.561,95,1965,treat her right
if you leave,for your love,72,For Your Love,0.387,0.33799999999999997,0.6679999999999999,1.59e-05,2,0.111,-8.641,1,0.0421,127.09700000000001,5,0.561,96,1965,the race is on
prove your love,for your love,79,For Your Love,0.387,0.33799999999999997,0.6679999999999999,1.59e-05,2,0.111,-8.641,1,0.0421,127.09700000000001,5,0.561,97,1965,im a fool
for you i will,for your love,67,For Your Love,0.387,0.33799999999999997,0.6679999999999999,1.59e-05,2,0.111,-8.641,1,0.0421,127.09700000000001,5,0.561,98,1965,the boy from new york city
find your love,for your love,81,For Your Love,0.387,0.33799999999999997,0.6679999999999999,1.59e-05,2,0.111,-8.641,1,0.0421,127.09700000000001,5,0.561,99,1965,keep searchin well follow the sun
california girls,california gurls,94,California Gurls,0.0038,0.7879999999999999,0.753,0.0,0,0.18,-3.71,1,0.0536,125.005,4,0.40299999999999997,100,1965,how sweet it is to be loved by you
california girls,california gurls,94,California Gurls,0.0038,0.7879999999999999,0.753,0.0,0,0.18,-3.71,1,0.0536,125.005,4,0.40299999999999997,1,1966,ballad of the green berets
california gurls,california gurls,100,California Gurls,0.0038,0.7879999999999999,0.753,0.0,0,0.18,-3.71,1,0.0536,125.005,4,0.40299999999999997,2,1966,cherish
go now,for now,77,For Now,0.9259999999999999,0.397,0.249,0.0,5,0.115,-10.484000000000002,1,0.0394,79.61399999999998,4,0.32899999999999996,3,1966,youre my soul and inspiration
goldfinger,gold digger,76,Gold Digger,0.0192,0.6459999999999999,0.696,0.0,1,0.0762,-5.572,0,0.342,92.88,4,0.625,4,1966,reach out ill be there
gold digger,gold digger,100,Gold Digger,0.0192,0.6459999999999999,0.696,0.0,1,0.0762,-5.572,0,0.342,92.88,4,0.625,5,1966,96 tears
gold digger,gold digger,100,Gold Digger,0.0192,0.6459999999999999,0.696,0.0,1,0.0762,-5.572,0,0.342,92.88,4,0.625,6,1966,last train to clarksville
down in the boondocks,blowin in the wind,67,Blowin' In the Wind,0.914,0.38,0.0993,2.3199999999999998e-05,2,0.0605,-20.566999999999997,1,0.0509,174.87400000000005,4,0.44,7,1966,monday monday
blowing kisses in the wind,blowin in the wind,82,Blowin' In the Wind,0.914,0.38,0.0993,2.3199999999999998e-05,2,0.0605,-20.566999999999997,1,0.0509,174.87400000000005,4,0.44,8,1966,you cant hurry love
baby the rain must fall,dry the rain remaster,64,Dry The Rain (Remaster),0.0283,0.593,0.693,0.084,4,0.172,-8.576,1,0.0305,150.489,4,0.7490000000000001,9,1966,poor side of town
catch us if you can,because of you,61,Because of You,0.254,0.583,0.584,0.0,5,0.12300000000000001,-5.362,0,0.0314,140.039,4,0.136,10,1966,california dreamin
because of love,because of you,83,Because of You,0.254,0.583,0.584,0.0,5,0.12300000000000001,-5.362,0,0.0314,140.039,4,0.136,11,1966,summer in the city
because of you,because of you,100,Because of You,0.254,0.583,0.584,0.0,5,0.12300000000000001,-5.362,0,0.0314,140.039,4,0.136,12,1966,born free
because of you,because of you,100,Because of You,0.254,0.583,0.584,0.0,5,0.12300000000000001,-5.362,0,0.0314,140.039,4,0.136,13,1966,these boots are made for walkin
because of you,because of you,100,Because of You,0.254,0.583,0.584,0.0,5,0.12300000000000001,-5.362,0,0.0314,140.039,4,0.136,14,1966,what becomes of the brokenhearted
because of you,because of you,100,Because of You,0.254,0.583,0.584,0.0,5,0.12300000000000001,-5.362,0,0.0314,140.039,4,0.136,15,1966,strangers in the night
because of you,because of you,100,Because of You,0.254,0.583,0.584,0.0,5,0.12300000000000001,-5.362,0,0.0314,140.039,4,0.136,16,1966,we can work it out
eight days a week,brighter days,60,brighter days,0.4,0.603,0.5329999999999999,0.0,0,0.124,-6.742000000000001,1,0.0832,128.037,4,0.282,17,1966,good lovin
just a little,just a little crush,81,Just A Little Crush,0.138,0.62,0.73,1.55e-05,1,0.111,-9.658999999999999,0,0.0702,120.035,4,0.4270000000000001,18,1966,winchester cathedral
with a little luck,just a little crush,65,Just A Little Crush,0.138,0.62,0.73,1.55e-05,1,0.111,-9.658999999999999,0,0.0702,120.035,4,0.4270000000000001,19,1966,hanky panky
ooh aah just a little bit,just a little crush,64,Just A Little Crush,0.138,0.62,0.73,1.55e-05,1,0.111,-9.658999999999999,0,0.0702,120.035,4,0.4270000000000001,20,1966,when a man loves a woman
you turn me on,turn me on,83,Turn Me On,0.0405,0.677,0.682,0.0,9,0.0351,-6.879,1,0.0361,106.279,4,0.875,21,1966,paint it black
turn to stone,turn me on,70,Turn Me On,0.0405,0.677,0.682,0.0,9,0.0351,-6.879,1,0.0361,106.279,4,0.875,22,1966,my love
turn me on,turn me on,100,Turn Me On,0.0405,0.677,0.682,0.0,9,0.0351,-6.879,1,0.0361,106.279,4,0.875,23,1966,lightnin strikes
turn my swag on,turn me on,72,Turn Me On,0.0405,0.677,0.682,0.0,9,0.0351,-6.879,1,0.0361,106.279,4,0.875,24,1966,wild thing
turn me on,turn me on,100,Turn Me On,0.0405,0.677,0.682,0.0,9,0.0351,-6.879,1,0.0361,106.279,4,0.875,25,1966,kicks
ill be doggone,ill be around,67,I'll Be Around,0.74,0.7879999999999999,0.469,0.00018999999999999998,5,0.10099999999999999,-13.639000000000001,1,0.0347,120.01299999999999,4,0.8809999999999999,26,1966,sunshine superman
save your heart for me,you were meant for me,70,You Were Meant For Me,0.7909999999999999,0.5820000000000001,0.33,1.48e-06,6,0.105,-7.928,1,0.0347,111.87299999999999,4,0.40700000000000003,27,1966,sunny
you mean the world to me,you were meant for me,67,You Were Meant For Me,0.7909999999999999,0.5820000000000001,0.33,1.48e-06,6,0.105,-7.928,1,0.0347,111.87299999999999,4,0.40700000000000003,28,1966,paperback writer
foolish games  you were meant for me,you were meant for me,74,You Were Meant For Me,0.7909999999999999,0.5820000000000001,0.33,1.48e-06,6,0.105,-7.928,1,0.0347,111.87299999999999,4,0.40700000000000003,29,1966,see you in september
foolish games  you were meant for me,you were meant for me,74,You Were Meant For Me,0.7909999999999999,0.5820000000000001,0.33,1.48e-06,6,0.105,-7.928,1,0.0347,111.87299999999999,4,0.40700000000000003,30,1966,you keep me hangin on
tired of waiting for you,waiting for you,77,Waiting for You,0.502,0.524,0.27399999999999997,0.257,6,0.0924,-13.931,1,0.295,167.998,4,0.342,31,1966,lil red riding hood
anything for you,waiting for you,84,Waiting for You,0.502,0.524,0.27399999999999997,0.257,6,0.0924,-13.931,1,0.295,167.998,4,0.342,32,1966,devil with a blue dress ongood golly miss molly
waiting for tonight,waiting for you,76,Waiting for You,0.502,0.524,0.27399999999999997,0.257,6,0.0924,-13.931,1,0.295,167.998,4,0.342,33,1966,good vibrations
wait for you,waiting for you,89,Waiting for You,0.502,0.524,0.27399999999999997,0.257,6,0.0924,-13.931,1,0.295,167.998,4,0.342,34,1966,a groovy kind of love
count me in,cant move on,70,Can't Move On,0.0526,0.769,0.721,2.54e-06,0,0.27,-6.412999999999999,1,0.0946,102.999,4,0.667,35,1966,you dont have to say you love me
all day and all of the night,all day and all of the night,100,All Day and All of the Night,0.247,0.563,0.915,8.46e-05,7,0.0613,-5.062,1,0.08,136.345,4,0.71,36,1966,cool jerk
wasted days and wasted nights,all day and all of the night,67,All Day and All of the Night,0.247,0.563,0.915,8.46e-05,7,0.0613,-5.062,1,0.08,136.345,4,0.71,37,1966,born a woman
what the world needs now is love,what the world needs now is love,100,What the World Needs Now Is Love,0.915,0.574,0.364,9.98e-06,11,0.13699999999999998,-9.672,0,0.0365,112.094,3,0.39799999999999996,38,1966,red rubber ball
its not unusual,its not unusual,100,It's Not Unusual,0.609,0.479,0.67,0.0,0,0.336,-10.475999999999999,1,0.045,92.1,4,0.9259999999999999,39,1966,baby
shes about a mover,shes a lover,73,She's a Lover,0.004070000000000001,0.439,0.795,0.00114,2,0.29600000000000004,-9.424,1,0.0314,84.846,4,0.789,40,1966,walk away renee
shes a lady,shes a lover,70,She's a Lover,0.004070000000000001,0.439,0.795,0.00114,2,0.29600000000000004,-9.424,1,0.0314,84.846,4,0.789,41,1966,daydream
shake,shake,100,Shake,0.47200000000000003,0.48,0.79,0.713,4,0.155,-7.775,1,0.0353,111.025,4,0.446,42,1966,time wont let me
wonderful world,what a wonderful world,81,What A Wonderful World,0.848,0.273,0.373,0.000241,5,0.188,-9.988999999999999,1,0.0341,77.59100000000002,4,0.147,43,1966,hooray for hazel
nowhere to run,born to run,72,Born to Run,0.0050100000000000006,0.27,0.9440000000000001,2.05e-05,4,0.11599999999999999,-4.199,1,0.0975,146.347,4,0.606,44,1966,sweet pea
heart full of soul,heart full of soul,100,Heart Full of Soul,0.22899999999999998,0.494,0.6659999999999999,5.6899999999999994e-05,9,0.0469,-9.743,0,0.0351,140.832,4,0.6990000000000001,45,1966,bus stop
love potion no 9,love potion no 9,100,Love Potion No. 9,0.8109999999999999,0.71,0.7120000000000001,0.0,7,0.109,-6.2989999999999995,1,0.0515,128.75799999999998,4,0.9109999999999999,46,1966,im your puppet
laurie strange things happen,love is stronger than pride,58,Love Is Stronger Than Pride,0.7659999999999999,0.5660000000000001,0.335,0.000366,4,0.0824,-12.417,0,0.0293,87.617,4,0.317,47,1966,im so lonesome i could cry
love is in control finger on the trigger,love is stronger than pride,66,Love Is Stronger Than Pride,0.7659999999999999,0.5660000000000001,0.335,0.000366,4,0.0824,-12.417,0,0.0293,87.617,4,0.317,48,1966,aint too proud to beg
baby dont go,baby don’t stop,81,Baby Don’t Stop,0.0214,0.8270000000000001,0.7390000000000001,4.13e-06,8,0.043,-6.391,1,0.0744,95.999,4,0.35200000000000004,49,1966,dirty water
it aint me babe,it aint my fault,71,It Ain't My Fault,0.0987,0.721,0.508,0.0,9,0.32899999999999996,-10.564,1,0.363,176.018,4,0.557,50,1966,elusive butterfly
tell her no,be here now,73,Be Here Now,0.203,0.557,0.703,0.000156,8,0.0927,-2.062,0,0.0277,150.037,4,0.228,51,1966,i am a rock
i go to pieces,two princes,64,Two Princes,0.00162,0.5429999999999999,0.912,2.1000000000000002e-06,7,0.0565,-10.71,1,0.0601,103.73100000000001,4,0.836,52,1966,crying time
two princes,two princes,100,Two Princes,0.00162,0.5429999999999999,0.912,2.1000000000000002e-06,7,0.0565,-10.71,1,0.0601,103.73100000000001,4,0.836,53,1966,secret agent man
dont just stand there,dont just stand there,100,DON'T JUST STAND THERE,0.00881,0.7509999999999999,0.5539999999999999,0.0011099999999999999,7,0.0389,-11.356,1,0.16,160.077,4,0.526,54,1966,the sound of silence
