,Song Name,Matched Name,Ratio Value,Song List Index
2293,right on track,right back,75,17135
2294,ballerina girl,american girl,74,440
2295,meet me half way,the hard way,64,4736
2296,ive been in love before,i believe in love,65,16012
2297,you gotta fight for your right to party,fight for your right,68,717
2298,funkytown,unknown,75,18820
2299,love you down,let you down,88,3700
2300,faith,wraith,73,8704
2301,need you tonight,need you tonight,100,674
2302,got my mind set on you,my friends over you,63,14102
2303,never gonna give you up,never gonna give you up,100,790
2304,sweet child o mine,sweet child o mine,100,541
2305,so emotional,emotion,74,4315
2306,heaven is a place on earth,heaven is a place on earth,100,2259
2307,couldve been,could have been me,80,14813
2308,hands to heaven,had to hear,77,9497
2309,roll with it,roll with it,100,15447
2310,one more try,one more time,80,5708
2311,wishing well,wishing well,100,12233
2312,anything for you,waiting for you,84,3099
2313,the flame,the flame,100,632
2314,get outta my dreams get into my car,love put a song in my heart,55,5328
2315,seasons change,sea change,83,14982
2316,is this love,is this love,100,2136
2317,wild wild west,wild wild west,100,9126
2318,pour some sugar on me,pour some sugar on me  remastered 2017,71,516
2319,ill always love you,i will always love you,93,10859
2320,man in the mirror,ghost in the mirror,78,14974
2321,shake your love,all your love,79,3131
2322,simply irresistible,impossible,62,13847
2323,hold on to the nights,soul of the night,74,6797
2324,hungry eyes,hungry heart,70,782
2325,shattered dreams,barbie dreams,69,1253
2326,father figure,the fire,76,6782
2327,naughty girls need love too,girls need love,71,3170
2328,a groovy kind of love,a fool in love,69,3852
2329,love bites,love wins,74,1198
2330,endless summer nights,summer nights,76,4363
2331,foolish beat,foolish beat,100,616
2332,where do broken hearts go,edge of a broken heart,72,567
2333,angel,angels,91,2464
2334,a hazy shade of winter,a whiter shade of pale,64,2091
2335,the way you make me feel,how your love makes me feel,75,5523
2336,dont worry be happy,dont worry be happy,100,8508
2337,make me lose control,take me home country roads,70,5293
2338,red red wine,red red wine,100,2304
2339,shes like the wind,dust in the wind,71,356
2340,bad medicine,bad medicine,100,524
2341,kokomo,ko ko bop,67,6698
2342,i dont wanna go on with you like that,i only wanna be with you,66,14021
2343,together forever,together,67,7915
2344,monkey,money,91,6479
2345,devil inside,deep inside,78,5726
2346,shouldve known better,know no better,69,9986
2347,i dont wanna live without your love,i dont wanna love you anymore,75,11722
2348,the locomotion,the locomotion,100,17280
2349,what have i done to deserve this,what have you done,60,8782
2350,make it real,take it all,78,12874
2351,whats on your mind pure energy,what do you mean,61,6984
2352,tell it to my heart,listen to your heart,72,641
2353,out of the blue,dust on the bottle,73,5511
2354,dont you want me,dont you want me,100,1371
2355,desire,desire,100,694
2356,i get weak,mi gente,67,213
2357,sign your name,in your arms,77,6144
2358,i want to be your man,i wanna be your dog,70,345
2359,girlfriend,girlfriend,100,177
2360,dirty diana,dirty vibe,67,6350
2361,123,123,100,4718
2362,mercedes boy,mercedes boy,100,9259
2363,perfect world,perfect for me,74,4784
2364,new sensation,new sensation,100,759
2365,catch me im falling,timber im falling,78,5144
2366,if it isnt love,if it aint love,93,8840
2367,rocket 2 u,back 2 u,67,15594
2368,one good woman,the good man,77,4396
2369,dont be cruel,dont be cruel,100,5051
2370,candle in the wind,candle in the wind,100,16988
2371,everything your heart desires,everything you want,71,1011
2372,say you will,wish you well,72,15828
2373,i want her,want her,89,8677
2374,pink cadillac,pina colada,67,9836
2375,fast car,fast car,100,354
2376,electric blue,electric love,85,6432
2377,the valley road,the lonely road,80,13353
2378,dont be cruel,dont be cruel,100,5051
2379,always on my mind,all on my mind,84,16369
2380,piano in the dark,rainbow in the dark,83,522
2381,when its love,when its over,92,16713
2382,dont shed a tear,shed a tear,81,4731
2383,well be together,better together,71,1375
2384,i hate myself for loving you,i hate myself for loving you,100,569
2385,i dont want to live without you,i dont want to change you,71,3298
2386,nite and day,once a day,73,5174
2387,dont you know what the night can do,lets see what the night can do,74,6513
2388,one moment in time,moment in time,88,17708
2389,cant stay away from you,blues stay away from me,70,5110
2390,kissing a fool,missing my idols,67,3514
2391,cherry bomb,cherry bomb,100,2799
2392,i still believe,im still believing,85,18214
2393,i found someone,if you need someone,82,6065
2394,never tear us apart,love will tear us apart,76,1392
2395,valerie,valentine,75,4319
2396,just like paradise,just like paradise,100,607
2397,nothin but a good time,nothing to me,69,1837
2398,wait,wait,100,562
2399,prove your love,for your love,79,327
2400,look away,walk away,78,4399
2401,my prerogative,my own grave,62,6586
2402,every rose has its thorn,every rose has its thorn  remastered 2003,74,531
2403,straight up,straight flush,80,7956
2404,miss you much,its too much,72,18582
2405,cold hearted,coldhearted,96,9965
2406,wind beneath my wings,the wind beneath my wings,91,5385
2407,girl you know its true,like you knew it,63,13377
2408,baby i love your wayfreebird medley,baby i love your way,73,404
2409,giving you the best that i got,giving up the gun,60,9492
2410,right here waiting,right here waiting,100,656
2411,waiting for a star to fall,waiting for the world to end,67,9372
2412,lost in your eyes,in your eyes,83,789
2413,dont wanna lose you,dont wanna be your girl,76,5979
2414,heaven,heaven,100,574
2415,girl im gonna miss you,like im gonna lose you,73,3289
2416,the look,the look,100,2327
2417,she drives me crazy,she drives me crazy,100,2317
2418,on our own,on your own,95,14984
2419,two hearts,no heart,78,10719
2420,blame it on the rain,calmness in the rain,75,4861
2421,listen to your heart,listen to your heart,100,641
2422,ill be there for you,ill be there for you,100,17270
2423,if you dont know me by now,if you know you know,74,7331
2424,like a prayer,livin on a prayer,73,540
2425,ill be loving you forever,ill be loving you forever,100,626
2426,how can i fall,how can i forget,73,1163
2427,baby dont forget my number,dont forget about me,65,5765
2428,toy soldiers,soldiers,80,12912
2429,forever your girl,forever girl,83,4912
2430,the living years,the avengers,71,18060
2431,eternal flame,eternal flame,100,659
2432,wild thing,wild thing,100,334
2433,when i see you smile,when i see you smile,100,622
2434,if i could turn back time,if i could turn back time,100,15950
2435,buffalo stance,buffalo stance,100,2895
2436,when im with you,when im with him,81,10604
2437,dont rush me,dont hurt me,75,8646
2438,born to be my baby,be my baby,71,2051
2439,good thing,good thing,100,12294
2440,the lover in me,the love i lost,73,3828
2441,bust a move,bust a move,100,9072
2442,once bitten twice shy,once bitten twice shy,100,534
2443,batdance,balance,80,4105
2444,rock on,rockin’,77,8639
2445,real love,real love,100,5393
2446,love shack,loneshark,74,1654
2447,every little step,every light in the house,68,5450
2448,hangin tough,hangin on,76,8866
2449,my heart cant tell you no,hate to tell you,68,9981
2450,so alive,stay alive,78,9532
2451,you got it the right stuff,you got it the right stuff,100,781
2452,armageddon it,jam on it,64,9083
2453,satisfied,sanctified,84,17573
2454,express yourself,express yourself  remix,82,9070
2455,i like it,i like it,100,86
2456,soldier of love,glory of love,71,643
2457,sowing the seeds of love,stop in the name of love,75,6867
2458,cherish,crash,67,2864
2459,when the children cry,when they get older,65,12094
2460,18 and life,18 and life,100,553
2461,i dont want your love,i dont want to be,79,192
2462,second chance,sea change,70,14982
2463,the way you love me,hate the way you love me,88,18755
2464,funky cold medina,you could be mine,59,4006
2465,in your room,in your room,100,12731
2466,miss you like crazy,missin you crazy,80,8711
2467,lovesong,love song,94,157
2468,secret rendezvous,secret preference,65,6738
2469,angel eyes,angels,75,2464
2470,patience,patient,80,3320
2471,walk on water,walk out to winter,71,2923
2472,cover girl,forever girl,82,4912
2473,welcome to the jungle,welcome to the jungle,100,530
2474,shower me with your love,how deep is your love,76,13160
2475,stand,sands,80,10757
2476,close my eyes forever,close my eyes forever,100,529
2477,all this time,this time,82,5261
2478,after all,after all,100,1182
2479,roni,ironic,80,1059
2480,love in an elevator,lost in translation,63,18728
2481,lay your hands on me,lady you shot me,72,14703
2482,the promise,the promise,100,3324
2483,what i am,what id say,80,5358
2484,i remember holding you,i remember you,78,572
2485,paradise city,paradise city,100,512
2486,i wanna have some fun,i wanna be somebody,70,561
2487,she wants to dance with me,want to want me,68,7001
2488,dreamin,dreaming,93,4808
2489,its no crime,its time,70,6924
2490,poison,poison,100,558
2491,this time i know its for real,the time is now john cena,67,9713
2492,smooth criminal,smooth criminal,100,12
2493,heaven help me,heaven to me,77,4245
2494,rock witcha,rockit,71,9082
2495,thinking of you,thinking about you,85,13771
2496,what you dont know,what you dont do,88,14681
2497,surrender to me,surrender,75,2924
2498,the end of the innocence,the end of the world,73,5175
2499,keep on movin,keep on going,85,16622
2500,hold on,hold on,100,5782
2501,it must have been love,let there be love,67,10414
2502,nothing compares 2 u,nothing compares 2 u,100,2387
2503,poison,poison,100,558
2504,vogue,vogue,100,2428
2505,vision of love,livin on love,74,5512
2506,another day in paradise,another place  radio edit,67,5729
2507,hold on,hold on,100,5782
2508,cradle of love,chapel of love,79,2099
2509,blaze of glory,hate or glory,74,17551
2510,do me,rid of me,71,6067
2511,how am i supposed to live without you,how am i supposed to live without you,100,661
2512,pump up the jam,pump up the jam,100,2399
2513,opposites attract,opposite of adults,63,8812
2514,escapade,escape,86,17356
2515,all i wanna do is make love to you,i just want to make love to you,74,3822
2516,close to you,close to you,100,2416
2517,black velvet,black velvet,100,2276
2518,release me,release,82,11541
2519,dont know much,dont know why,81,1953
2520,all around the world,around the world,89,3008
2521,i wanna be rich,i wanna be your dog,71,345
2522,rub you the right way,rage the night away,70,17575
2523,she aint worth it,he aint worth missing,79,5492
2524,if wishes came true,miss me more,58,8886
2525,the power,the joker,78,454
2526,cant live without your love and affection,love and affection,61,7814
2527,love will lead you back,love will tear us apart,70,1392
2528,dont wanna fall in love,dont wanna fall in love,100,18105
2529,two to make it right,make it right,79,3045
2530,sending all my love,grinding all my life,77,18520
2531,unskinny bop,skinny love,70,2527
2532,step by step,step by step,100,2386
2533,dangerous,dangerous,100,7725
2534,we didnt start the fire,we didnt start the fire,100,8136
2535,i dont have the heart,dont fear the reaper,68,459
2536,downtown train,no rain,67,1014
2537,rhythm nation,rhythm divine,69,17334
2538,ill be your everything,give me everything,70,153
2539,roam,roam,100,18454
2540,everything,everything,100,14278
2541,back to life however do you want me,whatever you want,58,3564
2542,here and now,theres an end,72,14764
2543,alright,alright,100,111
2544,ice ice baby,ice ice baby,100,2403
2545,blame it on the rain,calmness in the rain,75,4861
2546,have you seen her,have you ever,80,18357
2547,with every beat of my heart,with every heartbeat,72,15243
2548,come back to me,come back to me,100,6424
2549,no more lies,no me platiques,74,3893
2550,praying for time,asking for it,69,12907
2551,how can we be lovers,why cant this be love,68,580
2552,do you remember,do you remember,100,3287
2553,ready or not,ready or not,100,9144
2554,u cant touch this,u cant touch this,100,884
2555,i wish it would rain down,hows the world treating you,62,5129
2556,just between you and me,just between you and me,100,5191
2557,something happened on the way to heaven,something about the way hot or not,68,12618
2558,black cat,black cat,100,14161
2559,cant stop,cant stop,100,13
2560,janies got a gun,ive got a woman,65,1979
2561,the humpty dance,the humpty dance,100,854
2562,ill be your shelter,ill take you there,70,6856
2563,free fallin,free fallin,100,350
2564,giving you the benefit,giving up the gun,72,9492
2565,enjoy the silence,enjoy the silence,100,2357
2566,love song,love song,100,157
2567,price of love,chapel of love,74,2099
2568,girls nite out,girl like you,74,8885
2569,king of wishful thinking,king of anything,65,18347
2570,what kind of man would i be,who else could i be,61,3200
2571,i remember you,i remember you,100,572
2572,get up before the night is over,when the night is over,72,16212
2573,here we are,where u are,82,13441
2574,epic,epic,100,758
2575,love takes time,one last time,71,6995
2576,just like jesse james,just the same,65,7889
2577,love shack,loneshark,74,1654
2578,all or nothing,all or nothing,100,1620
2579,romeo,como,67,91
2580,everybody everybody,everybody loves you,74,13118
2581,i go to extremes,too good to be true,63,8398
2582,whip appeal,disappear,60,16604
2583,oh girl,hey girl,80,10139
2584,cmon and get my love,come and get your love,81,2201
2585,its just the way that you love me,hate the way you love me,74,18755
2586,we cant go wrong,we cant be friends,65,5992
2587,when im back on my feet again,when i come around,60,943
2588,make you sweat,make you smile,79,1208
2589,this ones for the children,song to the siren,65,2927
2590,what it takes,whatever it takes,87,15739
2591,forever,forever,100,3689
2592,jerk out,jerk it out,84,23
2593,just a friend,just a friend,100,894
2594,whole wide world,wide world,77,3217
2595,without you,without you,100,15224
2596,swing the mood,swingtheory,72,14340
2597,thieves in the temple,the less i know the better,64,2577
2598,mentirosa,es mentiroso,76,3800
2599,tictactoe,tic toc,62,13780
2600,everything i do i do it for you,every time i look for you,71,14862
2601,i wanna sex you up,i wanna be your dog,76,345
2602,gonna make you sweat everybody dance now,are you what you want to be,54,15721
2603,rush rush,uh uh,71,7480
2604,one more try,one more time,80,5708
2605,unbelievable,unbelievable,100,1037
2606,more than words,more than words,100,349
2607,i like the way the kissing game,the way things are,65,14975
2608,the first time,for the first time,88,176
2609,baby baby,baby boy,82,170
2610,motownphilly,moon child,64,6722
2611,because i love you the postman song,because i love you,68,17012
2612,someday,somebody,80,8365
2613,high enough,high enough,100,582
2614,from a distance,waves from a distance,83,4171
2615,all the man that i need,the hand that feeds,71,12914
2616,right here right now,right here right now,100,1027
2617,i adore mi amor,oye mi amor,77,240
2618,love will never do without you,cant do without you,65,2582
2619,good vibrations,good vibrations,100,8112
2620,justify my love,best of my love,73,3827
2621,emotions,emotion,93,4315
2622,joyride,ride,73,11353
2623,romantic,ironic,71,1059
2624,hold you tight,need you tonight,73,674
2625,i dont wanna cry,don’t wanna try,84,14691
2626,youre in love,youre in love,100,537
2627,every heartbeat,with every heartbeat,86,15243
2628,sensitivity,sentiment,60,13300
2629,touch me all night long,you shook me all night long,84,601
2630,ive been thinking about you,thinking about you,80,13771
2631,do anything,do my ting,76,8036
2632,losing my religion,losing my religion,100,941
2633,coming out of the dark,out of the darkness,73,5805
2634,here we go,whered u go,76,15187
2635,it aint over til its over,i aint never  single version,64,5089
2636,where does my heart beat now,why does my heart feel so bad,70,10695
2637,summertime,summertime,100,9156
2638,wind of change,wind of change,100,611
2639,passion,pain,73,4569
2640,the promise of a new day,the rise of hannibal,68,6638
2641,im your baby tonight,ruin your night,69,6718
2642,love of a lifetime,lover of the light,67,1567
2643,fading like a flower every time you leave,walking the floor over you  1941 edit,54,4989
2644,this house,this one,78,3516
2645,hole hearted,coldhearted,78,9965
2646,power of lovelove power,the power of love,65,2251
2647,impulsive,simple,67,8860
2648,love is a wonderful thing,love is the drug,63,6044
2649,rhythm of my heart,hurts me to my heart,74,16748
2650,things that make you go hmmm,i cant make you love me,67,1401
2651,i touch myself,all to myself,74,11976
2652,toms diner,toms diner,100,389
2653,iesha,piensa,73,11185
2654,something to talk about,something to hold on to,74,3325
2655,after the rain,after rain,83,1471
2656,play that funky music,lay it on me  acoustic,60,1479
2657,temptation,expectations,73,6745
2658,cant stop this thing we started,dont stop the party,60,10300
2659,i cant wait another minute,it aint nothin,65,5502
2660,3 am eternal,amor eterno,70,233
2661,time love and tenderness,time to wander,63,18579
2662,sadeness part i,adieu pt ii,62,10826
2663,around the way girl,around the way girl,100,886
2664,ill be there,ill be there,100,7847
2665,cream,cream,100,9149
2666,now that we found love,now that we found love,100,911
2667,show me the way,show me the way,100,4022
2668,love takes time,one last time,71,6995
2669,cry for help,cry out for me,69,9617
2670,the way you do the things you do,the way you do the things you do,100,3849
2671,here i am come and take me,here comes the boom,62,1609
2672,signs,signal,73,3293
2673,too many walls,too many colors,76,12282
2674,crazy,crazy,100,1562
2675,ill give all my love to you,i will always love you,65,10859
2676,place in this world,no place in mind,63,1518
2677,something to believe in,something just like this,72,11381
2678,wicked game,wicked games,96,2442
2679,get here,greet her,82,15504
2680,round and round,round and round,100,549
2681,silent lucidity,sin city,70,9324
2682,im not in love,im in love,83,9267
2683,piece of my heart,piece of my heart,100,2111
2684,real real real,realer n realer,69,12753
2685,just another dream,just another day,88,10133
2686,everybody plays the fool,everybody wants to rule the world,67,722
2687,strike it up,rake it up,82,18492
2688,rico suave,suave,67,6956
2689,disappear,disappear,100,16604
2690,groove is in the heart,groove is in the heart,100,2408
2691,all this time,this time,82,5261
2692,the one and only,the one and only,100,13008
2693,opp,opp,100,881
2694,freedom 90,freedom,82,10511
2695,i saw red,ida red,75,5023
2696,miles away,miles away,100,1544
2697,do you want me,dont you want me,93,1371
2698,the motown song,the moon song,93,15262
2699,shiny happy people,ordinary people,67,1900
2700,end of the road,on the road,77,1831
2701,baby got back,baby got back,100,879
2702,jump,jump,100,543
2703,save the best for last,she got the best of me,64,8872
2704,babybabybaby,bababa,67,12561
2705,tears in heaven,tears in heaven,100,10861
2706,my lovin youre never gonna get it,if youre never gonna move,72,2616
2707,under the bridge,under the bridge,100,917
2708,all 4 love,all for love,82,11897
2709,just another day,just another day,100,10133
2710,i love your smile,i love you so,80,6811
2711,to be with you,one with you,85,6612
2712,im too sexy,im too sexy,100,2409
2713,black or white,black and white town,71,2521
2714,achy breaky heart,you are my heart,67,6881
2715,ill be there,ill be there,100,7847
2716,november rain,november rain,100,1113
2717,life is a highway,life is a highway,100,1076
2718,remember the time,remember we die,81,1656
2719,finally,finally,100,5377
2720,this used to be my playground,this is the day,55,2885
2721,sometimes love just aint enough,just cant get enough,59,2291
2722,cant let go,cant let you go,85,17910
2723,jump around,jump around,100,856
2724,diamonds and pearls,death by diamonds and pearls,81,9483
2725,dont let the sun go down on me,dont let it get you down,67,16250
2726,masterpiece,painting masterpiece,71,15660
2727,if you asked me to,if you need someone,70,6065
2728,giving him something he can feel,something in general,58,3625
2729,live and learn,fire and rain,67,470
2730,come and talk to me,come back to me,76,6424
2731,smells like teen spirit,smells like teen spirit,100,1089
2732,humpin around,jump around,83,856
2733,damn i wish i was your lover,damn i wish i was your lover,100,2400
2734,tell me what you want me to do,are you what you want to be,70,15721
2735,aint 2 proud 2 beg,aint too proud to beg,82,3814
2736,its so hard to say goodbye to yesterday,i dont hurt anymore  remastered,57,5071
2737,move this,moves,71,7386
2738,bohemian rhapsody,bohemian rhapsody  remastered 2011,67,412
2739,tennessee,tennessee waltz,75,2038
2740,the best things in life are free,the few things with charlotte lawrence,63,4716
2741,make it happen,make it back,69,17604
2742,the one,the one,100,9369
2743,set adrift on memory bliss,distant memories,57,16613
2744,stay,stay,100,5830
2745,2 legit 2 quit,i cant quit,56,18049
2746,please dont go,please dont go,100,15825
2747,breakin my heart pretty brown eyes,tearin up my heart  radio edit,59,6979
2748,wishing on a star,livin on a prayer,65,540
2749,shes playing hard to get,shes in parties,62,16702
2750,id die without you,cant do without you,76,2582
2751,good for me,good to me,86,3317
2752,all i want,all i want,100,1003
2753,when a man loves a woman,shes always a woman,65,16997
2754,i cant dance,cant dance,91,12480
2755,hazard,bazar,73,10373
2756,mysterious ways,serious,64,3156
2757,too funky,uptown funk,70,8515
2758,how do you talk to an angel,how do you feel,62,3071
2759,one,one,100,713
2760,keep on walkin,keep on walking,97,1184
2761,hold on my heart,open my heart,76,3760
2762,the way i feel about you,what i like about you,71,802
2763,beauty and the beast,it aint the meat,67,16766
2764,warm it up,rip it up,74,6052
2765,in the closet,one step closer,71,3422
2766,people everyday,trouble every day,75,2751
2767,no son of mine,any man of mine,76,5532
2768,wildside,wild side,94,573
2769,do i have to say the words,say the word,63,13593
2770,friday im in love,friday im in love,100,1079
2771,everything about you,everything about you,100,1083
2772,blowing kisses in the wind,blowin in the wind,82,329
2773,thought id died and gone to heaven,thought i knew you feat the weeknd,59,15514
2774,rhythm is a dancer,rhythm is a dancer  7 edit,82,2394
2775,addams groove,master groove,69,1668
2776,missing you now,missing you,85,4238
2777,back to the hotel,back to the hotel,100,4361
2778,everything changes,everything passes,80,5924
2779,have you ever needed someone so bad,have you ever seen the rain,65,2135
2780,take this heart,save this heart,87,3219
2781,when i look into your eyes,in your eyes,63,789
2782,i wanna love you,i wanna go out,80,9665
2783,uhh ahh,uh huh,77,6753
2784,real love,real love,100,5393
2785,justified and ancient,fire and rain,65,470
2786,slow motion,smooth motion,75,11004
2787,what about your friends,what about us,72,15833
2788,thinkin back,snatching it back,69,6857
2789,would i lie to you,would i lie to you,100,2349
2790,thats what love is for,all that love is,68,6796
2791,keep coming back,no going back,69,3582
2792,free your mind,be your man,72,3263
2793,keep it comin,keep it jackin,81,6169
2794,just take my heart,you are my heart,76,6881
2795,i will remember you,i remember you,85,572
2796,we got a love thang,its a love thing,74,9235
2797,lets get rocked,lets get fcked up,81,15602
2798,they want efx,the anthem,70,191
2799,i cant make you love me,i cant make you love me,100,1401
2800,i will always love you,i will always love you,100,10859
2801,whoomp there it is,what is there to say,63,4473
2802,cant help falling in love,can’t help falling in love,98,1354
2803,thats the way love goes,hate the way you love me,77,18755
2804,freak me,freak,77,10108
2805,weak,weak,100,11335
2806,if i ever fall in love,i believe in love,72,16012
2807,dreamlover,dream lover,95,1983
2808,rump shaker,rump shaker,100,860
2809,informer,informer,100,874
2810,nuthin but a g thang,money aint a thang,63,896
2811,in the still of the nite,in the still of the night,94,5843
2812,dont walk away,walk away,78,4399
2813,knockin da boots,knockin boots,90,898
2814,lately,lately,100,4703
2815,dazzey duks,dazed and confused,55,284
2816,show me love,show me love,100,15157
2817,a whole new world,whole new way,73,2553
2818,if,if,100,1753
2819,im so into you,into you,73,6675
2820,love is,love wins,88,1198
2821,runaway train,runaway train,100,1023
2822,ill never get over you getting over me,theres no gettin over me,65,5429
2823,ditty,dirty,80,8439
2824,rhythm is a dancer,rhythm is a dancer  7 edit,82,2394
2825,the river of dreams,river of tears,73,10664
2826,im gonna be 500 miles,im gonna be 500 miles,100,997
2827,two princes,two princes,100,991
2828,right here,right here,100,6701
2829,i have nothing,i have something,87,11065
2830,mr wendal,macarena,59,223
2831,have i told you lately,have i told you lately,100,617
2832,saving forever for you,forever for now,70,7269
2833,ordinary world,ordinary world,100,1394
2834,if i had no loot,if it aint love,65,8840
2835,id do anything for love but i wont do that,id do anything for love but i wont do that  radio edit,88,8108
2836,slam,slam,100,9214
2837,looking through patient eyes,walk through the fire feat ruelle,59,5828
2838,im every woman,im every woman,100,2174
2839,baby im yours,baby im yours,100,14692
2840,come undone,come down,80,4717
2841,i dont wanna fight,don’t wanna try,73,14691
2842,id die without you,cant do without you,76,2582
2843,whoot there it is,what is there to say,70,4473
2844,hip hop hooray,hip hop hooray,100,848
2845,another sad love song,not a love song,83,7885
2846,will you be there,ill be there,83,7847
2847,comforter,uncomfortable,73,1637
2848,good enough,had enough,76,8421
2849,whats up,whats up,100,1019
2850,all that she wants,all that she wants,100,2343
2851,7,97,67,3519
2852,dre day,dreary,77,16631
2853,one last cry,one last dance,77,4011
2854,just kickin it,lets kick it,69,3506
2855,i get around,i get around,100,867
2856,bed of roses,game of thrones,67,1791
2857,real love,real love,100,5393
2858,here we go again,here it goes again,82,13843
2859,cryin,cryin,100,609
2860,cats in the cradle,caught in the rain,72,14053
2861,what about your friends,what about us,72,15833
2862,i got a man,ive got a woman,85,1979
2863,hey mr dj,hey ma,67,7404
2864,insane in the brain,insane in the brain,100,878
2865,deeper and deeper,breathing deeper,61,12319
2866,rain,rain,100,6213
2867,the right kind of love,the fightin side of me,73,5314
2868,bad boys,bad boys,100,7294
2869,thats what love can do,thats what i like,67,11367
2870,do you believe in us,do you believe in magic,84,296
2871,angel,angels,91,2464
2872,forever in love,forever mine,81,14684
2873,again,yet again,71,2611
2874,boom shake the room,make some room,67,14682
2875,when she cries,oh sherrie,67,831
2876,sweat a la la la la long,sweat a la la la la long,100,11943
2877,it was a good day,it was a good day,100,913
2878,more and more,love no more,72,7174
2879,how do you talk to an angel,how do you feel,62,3071
2880,rebirth of slick cool like dat,rebirth of slick cool like dat,100,901
2881,what is love,what is love,100,2395
2882,to love somebody,to love somebody,100,2116
2883,give it up turn it loose,move time to get loose,61,8186
2884,alright,alright,100,111
2885,check yo self,check yo self  remix,79,9143
2886,fields of gold,fields of green,76,13384
2887,ooh child,oh child,94,10192
2888,faithful,faithfully,89,651
2889,reason to believe,dont stop believin,69,597
2890,break it down again,here it goes again,70,13843
2891,nothin my love cant fix,to my love  tainy remix,65,14528
2892,three little pigs,three little birds,86,1178
2893,livin on the edge,living on the ceiling,79,2907
2894,hey jealousy,hey jealousy,100,996
2895,if i ever lose my faith in you,if i were you feat keith urban,60,6493
2896,anniversary,universe,63,3988
2897,one woman,money man,78,17187
2898,cant get enough of your love,cant get enough of your love babe,92,2218
2899,two steps behind,dont stop believin,59,597
2900,the sign,the sign,100,2385
2901,i swear,i wonder,67,7360
2902,ill make love to you,i’ll make it up to you,76,9708
2903,the power of love,the power of love,100,2251
2904,hero,hero,100,2360
2905,stay i missed you,that i miss you,81,3537
2906,breathe again,breathin,76,1146
2907,all for love,all for love,100,11897
2908,all that she wants,all that she wants,100,2343
2909,dont turn around,turn it around,73,14711
2910,bump n grind,blue and green,62,11106
2911,again,yet again,71,2611
2912,ill remember,i remember,91,9624
2913,whatta man,whatchu mean,73,18276
2914,wild night,midnight,78,4499
2915,without you  never forget you,never forget you,71,1199
2916,you mean the world to me,you were meant for me,67,932
2917,can you feel the love tonight,can you feel the love tonight,100,10873
2918,the most beautiful girl in the world,the most beautiful girl,78,5279
2919,fantastic voyage,fantasy,61,1743
2920,baby i love your way,baby i love your way,100,404
2921,regulate,regulate,100,910
2922,if you go,let you go,74,17471
2923,back  forth,back  forth,100,4275
2924,now and forever,now or never,74,4350
2925,when can i see you,when i see you smile,74,622
2926,please forgive me,please dont give up on me,71,15288
2927,so much in love,woke up in love,73,5337
2928,shoop,shoop,100,2364
2929,any time any place,no other place,62,10547
2930,shine,shine,100,1053
2931,said i loved youbut i lied,do i love you indeed i do,67,3841
2932,return to innocence,return of the mack,59,893
2933,all i wanna do,all i want,75,1003
2934,mmm mmm mmm mmm,mmm mmm mmm mmm,100,1050
2935,can we talk,let em talk,64,12251
2936,funkdafied,funkdafied,100,914
2937,id do anything for love but i wont do that,id do anything for love but i wont do that  radio edit,88,8108
2938,gangsta lean,gangsta nation,77,9176
2939,because the night,because the night,100,6023
2940,cantaloop flip fantasia,way too fly feat davido,57,15498
2941,whoomp there it is,what is there to say,63,4473
2942,come to my window,come with me now,73,6277
2943,stroke you up,shake your rump,71,9120
2944,im ready,ready,77,6202
2945,100 pure love,your love,64,791
2946,anytime you need a friend,anytime  remastered,64,5004
2947,because of love,because of you,83,189
2948,linger,linger,100,1058
2949,loser,loser,100,939
2950,found out about you,song about you,73,6509
2951,gin and juice,racism and injustice,67,3720
2952,never lie,never ever,74,12289
2953,streets of philadelphia,streets of africa,70,18133
2954,getto jam,give it to me,64,3579
2955,endless love,restless love,80,11531
2956,i miss you,i miss you,100,16
2957,understanding,outstanding,75,11823
2958,this dj,this dj,100,9305
2959,cry for you,sucker for you,80,8376
2960,keep ya head up,keep your head up,88,8322
2961,whats my name,thats my jam,80,1642
2962,another night,of the night,80,9425
2963,your bodys callin,your body is a wonderland,67,197
2964,tootsee roll,to the threshold,57,6642
2965,i can see clearly now,i can see clearly now  edit,88,6846
2966,never keeping secrets,never going home,59,13922
2967,crazy,crazy,100,1562
2968,just kickin it,lets kick it,69,3506
2969,at your best you are love,crazy for your love,64,5386
2970,rock and roll dreams come through,rock and roll all nite,62,417
2971,amazing,amazing,100,11626
2972,always,always,100,3330
2973,groove thang,good thing,73,12294
2974,dreams,dreams,100,1190
2975,mr vain,mr verano,75,10555
2976,mary janes last dance,one last dance,74,4011
2977,anything,nothing,80,9780
2978,beautiful in my eyes,beautiful life,71,12284
2979,stay,stay,100,5830
2980,flava in ya ear,clavado en un bar,62,6941
2981,unity,unity,100,864
2982,prayer for the dying,race for the prize,68,3028
2983,secret,secret,100,9387
2984,here comes the hotstepper,here comes the hotstepper,100,2406
2985,everyday,everyday,100,3389
2986,dont take the girl,dont take the money,76,9657
2987,got me waiting,dont keep me waiting,76,12346
2988,december 1963 oh what a night,december 1963 oh what a night,100,8490
2989,indian outlaw,indian outlaw,100,5499
2990,always,always,100,3330
2991,far behind,far behind,100,1070
2992,back in the day,dance in the dark,75,10147
2993,love sneakin up on you,wake up on you,67,8717
2994,ill take you there,ill take you there,100,6856
2995,always in my heart,always on time,69,17206
